カテゴリ,条件,点数,備考
加点（自動）,前走G2以上で勝利または0.2秒差以内の惜敗,+5,
加点（自動）,前走上がり3FがメンバーW最速（タイ含む）,+4,
加点（自動）,近4戦以内に同コース（同競馬場・同距離・同芝ダ）で1着,+4,
加点（自動）,近4戦以内に同競馬場・同芝ダ・距離差400m以内で1着（同距離は除く）,+2,
加点（自動）,前走G2以上で0.2〜0.5秒差の惜敗,+3,
加点（自動）,叩き2戦目（2走前→前走が2ヶ月以上の休み明け後）,+1,
加点（自動）,近走上昇傾向（前々走より前走が着順・タイム改善）,+1,
加点（自動）,前走好走（3着以内 or タイム差0.3秒以内）,+1,
加点（自動）,前々走好走,+0.5,
加点（自動）,3・4走前にG1 1・2着,+3,前走・前々走は別評価のため3・4走前のみ対象
加点（自動）,3・4走前にG2 1・2着,+2,
加点（自動）,3・4走前にG3 1・2着,+1.5,
加点（自動）,3・4走前にOP 1・2着,+1,
加点（自動）,距離短縮（前走より短い距離）,+1,
廃止,昇級初戦（前走1着かつ今回クラスアップ）,0,昇級はポジティブな事象。距離延長はcheck_distance_upで別評価のため廃止
減点（自動）,6ヶ月以上の休み明け,-3,
減点（自動）,急坂コース（中山・阪神・中京）で好走歴なし（3勝クラス以上のみ）,-2,2勝クラス以下は急坂経験が少ないのが普通のため対象外
廃止,今回の回り方向（右/左）で好走歴なし,-1,近走5走以内しか参照できず全キャリア実績を見落とすため廃止
減点（自動）,馬体重±15kg以上変動（前走vs2走前）,-2,
加点（自動）,軽量馬（ハンデ戦のみ・平均より1.5kg以上軽い場合のみ）,+1,定量・別定の牝馬2kg減等は規定斤量差のため対象外。トップハンデは減点なし
減点（自動）,距離延長200m以上（2勝クラス以下）,0,適距離が定まっていない段階のため免除
減点（自動）,距離延長200m以上（3勝クラス）,-3,
減点（自動）,距離延長200m以上（OP以上・前走G1勝ちなら免除）,-5,
減点（自動）,初ダートまたは初芝（未勝利クラス）,-2,
減点（自動）,初ダートまたは初芝（1勝クラス）,-3,
減点（自動）,初ダートまたは初芝（2勝クラス以上）,-5,
減点（自動）,前走が障害戦または海外競馬,-4,
減点（自動）,前走がローカル競馬場（福島・新潟・小倉・函館・札幌）,-4,
減点（自動）,冬（12〜2月）の牝馬,-1,
減点（自動）,夏（7〜9月）の牡馬・せん,-1,
枠番補正（自動）,芝1600m 4枠,+0.5,
枠番補正（自動）,芝1600m 1枠,-0.5,
枠番補正（自動）,芝1400m 5枠・6枠,+0.5,
枠番補正（自動）,芝1400m 2枠・7枠,-0.5,
枠番補正（自動）,ダート1600m以下 内枠（1〜3枠）,-2.0,
調教評価（手動入力→自動変換）,時計スコア＋状態スコア合計9〜10点,+3,時計5=自己ベスト+加速/状態5=格上一蹴
調教評価（手動入力→自動変換）,時計スコア＋状態スコア合計7〜8点,+2,
調教評価（手動入力→自動変換）,時計スコア＋状態スコア合計5〜6点,+1,
調教評価（手動入力→自動変換）,時計スコア＋状態スコア合計3〜4点,0,
調教評価（手動入力→自動変換）,時計スコア＋状態スコア合計2点,-1,
手動確認（出力に★表示）,コースマイスタージョッキー（騎手のコース勝率50%以上）,+5,要目視確認
手動確認（出力に★表示）,内枠（1〜3枠）の先行馬,+3,要脚質確認
手動確認（出力に★表示）,前走が逃げて好走,-5,要目視確認
手動確認（出力に★表示）,ダートで前走牝馬限定戦,-5,要目視確認
