馬名,時計スコア(1-5),状態スコア(1-5),メモ
カスタニッチャ,3,3,6/3栗坂不良 馬なり余力 立て直し良化
ポリキポリキ,4,4,6/4栗坂稍 馬なり余力 動き軽快
ウィスカーパッド,3,3,6/4東CW稍 一杯に追う この一追いで良化
カヴァティーナ,3,2,6/3栗坂不良 馬なり余力 上昇味薄いが
ジーティーメティオ,4,4,6/4栗坂稍 馬なり余力 古オープンに同入 鋭いの伸び良
レーヴドリュヌ,2,2,6/3栗坂不良 馬なり余力 力感乏しく
トラカイキャッスル,3,3,6/3栗坂不良 末強め追う 馬分上向くも
キーテーマ,2,3,6/3栗坂不良 馬なり余力 変わりなく順調
メイショウプレマ,3,4,6/4栗坂稍 馬なり余力 好気配保つ
サリエンテ,4,5,6/4東CW稍 馬なり余力 古馬2勝クラスに追走先着 鋭い重点
ルージュマデイラ,4,5,6/3栗坂不良 馬なり余力 古馬3勝クラスと同入 仕上がり良好
ライツェントライゼ,3,3,6/3栗坂不良 強めに追う 順調に乗り込む
レディアグレッサー,3,3,6/3東P良 馬なり余力 立て直し良化
サンタカリス,3,2,助手◇栗坂良 馬なり余力 さほど良化なく
クロスボーダー,4,4,6/3栗坂不良 馬なり余力 フットワーク軽快
