順位,枠,馬番,馬名,合計スコア,単勝オッズ,人気,加点内訳,減点内訳,調教コメント
1,3,5,ジェニファー,+16.6,21.4,9人気,+3.0調教評価 / +3.8近走上昇傾向 / +0.5前走好走 / +0.4前々走好走 / +0.5枠番補正 / +1.0内枠先行 / +1.0軽量馬加点 / +1.5複勝安定ボーナス / +5.0勝利数ボーナス,,好調子
2,3,6,レッドエヴァンス,+15.0,7.1,3人気,+2.0調教評価 / +3.8近走上昇傾向 / +1.0距離短縮 / +0.4前走好走 / +1.0血統距離適性 / +0.5枠番補正 / +2.2複勝安定ボーナス / +2.5勝利数ボーナス / +1.0騎手フォーム / +0.6急坂パワー,,伸び上々
3,4,7,ディアナザール,+13.6,3.9,1人気,+1.5同コース実績 / +1.0調教評価 / +1.0叩き2戦目 / +1.0グレード実績(3-4走前) / +1.0血統距離適性 / +2.2複勝安定ボーナス / +5.0勝利数ボーナス / +2.0騎手フォーム / +0.3急坂パワー,-0.5枠番補正 / -1.0季節×性別,仕上上々
4,7,14,コウセキ,+12.6,15.7,8人気,+3.0調教評価 / +1.0叩き2戦目 / +0.4前走好走 / +1.0グレード実績(3-4走前) / +2.2複勝安定ボーナス / +5.0勝利数ボーナス / +1.0騎手フォーム,-1.0季節×性別,好調持続
5,8,17,タマモイカロス,+12.5,14.2,6人気,+2.0同コース近距離実績 / +1.0調教評価 / +1.0叩き2戦目 / +0.4前走好走 / +1.0グレード実績(3-4走前) / +2.2複勝安定ボーナス / +5.0勝利数ボーナス / +0.9急坂パワー,-1.0季節×性別,追毎良化
6,5,9,クラスペディア,+11.2,31.0,10人気,+2.0調教評価 / +1.0叩き2戦目 / +3.8近走上昇傾向 / +0.4前走好走 / +0.4前々走好走 / +1.0血統距離適性 / +2.5勝利数ボーナス / +1.2急坂パワー,-1.0季節×性別,キビキビ
7,1,1,イツモニコニコ,+11.0,38.5,13人気,+3.0調教評価 / +1.0グレード実績(3-4走前) / +1.0血統距離適性 / +1.0軽量馬加点 / +5.0勝利数ボーナス,,好調子
8,2,3,レイピア,+8.7,4.9,2人気,+2.0調教評価 / +1.0叩き2戦目 / +1.5グレード実績(3-4走前) / +1.0血統距離適性 / +0.5枠番補正 / +1.5複勝安定ボーナス / +1.0騎手フォーム / +1.2急坂パワー,-1.0季節×性別,出来安定
9,7,13,サンアントワーヌ,+8.1,15.5,7人気,+2.0調教評価 / +1.0距離短縮 / +1.0血統距離適性 / +1.0軽量馬加点 / +2.5勝利数ボーナス / +0.6急坂パワー,,キビキビ
10,5,10,ナムラローズマリー,+7.5,33.8,11人気,+1.0叩き2戦目 / +1.2近走上昇傾向 / +0.4前走好走 / +1.0グレード実績(3-4走前) / +0.5血統距離適性 / +1.0軽量馬加点 / +2.5勝利数ボーナス / +0.9急坂パワー,-1.0調教評価,目立たず
11,1,2,フロムダスク,+7.5,35.1,12人気,+2.0前走3F最速 / +3.0調教評価 / +1.0グレード実績(3-4走前) / +2.5勝利数ボーナス,-1.0季節×性別,動き抜群
12,7,15,アンクルクロス,+6.2,8.0,4人気,+2.0調教評価 / +0.2前々走好走 / +1.0グレード実績(3-4走前) / +1.5複勝安定ボーナス / +2.5勝利数ボーナス,-1.0季節×性別,末脚良し
13,6,11,タマモブラックタイ,+4.7,78.1,16人気,+1.0調教評価 / +0.4前々走好走 / +2.5勝利数ボーナス / +1.8急坂パワー,-1.0季節×性別,攻め動く
14,4,8,フィオライア,+4.5,63.0,14人気,+1.0調教評価 / +1.5グレード実績(3-4走前) / +2.5勝利数ボーナス,-0.5枠番補正,仕上上々
15,6,12,インビンシブルパパ,+4.5,8.4,5人気,+1.0調教評価 / +1.0叩き2戦目 / +1.0グレード実績(3-4走前) / +2.5勝利数ボーナス,-1.0季節×性別,出来は良
16,2,4,プロトポロス,+3.0,138.1,17人気,+1.0調教評価 / +1.0叩き2戦目 / +0.5枠番補正 / +1.0内枠先行 / +1.0軽量馬加点,-0.5前走ローカル / -1.0季節×性別,一歩前進
17,8,16,アブキールベイ,+1.5,63.1,15人気,+2.0騎手フォーム,-0.5前走ローカル,前走並み
18,8,18,ペプチドヤマト,+1.5,284.6,18人気,+1.2近走上昇傾向 / +0.2前々走好走 / +1.0血統距離適性,-1.0季節×性別,仕上十分

■レース情報,芝1200m,202607020607,良

■買いサイン,⚠ 見送り,18頭フルゲート / GIII（三連複ROI6%以下・n=92）

■評価コメント
,18頭フルゲートは荒れやすく軸信頼度が低下。
,重賞クラス：三連複ROI6%以下（n=92）。買い条件を満たさない。
,2位タマモイカロス14.2倍（スコア差1.0pt）。

■三連複1軸-相手,1軸-相手5頭 (10点),"軸:5番ジェニファー / 相手(予想2〜6位):6,7,14,17,9",10点
,5－6－7
,5－6－9
,5－6－14
,5－6－17
,5－7－9
,5－7－14
,5－7－17
,5－9－14
,5－9－17
,5－14－17

■参考:2軸型(3〜9位相手),軸:5番ジェニファー×6番レッドエヴァンス,"相手(3〜9位):7,14,17,9,1,3,13",7点
,1－5－6
,3－5－6
,5－6－7
,5－6－9
,5－6－13
,5－6－14
,5－6－17
