順位,枠,馬番,馬名,合計スコア,単勝オッズ,人気,加点内訳,減点内訳,調教コメント
1,4,4,テイエムアイラン,+18.2,3.6,1人気,+2.0同コース近距離実績 / +2.0調教評価 / +1.0叩き2戦目 / +2.5近走上昇傾向 / +0.4前走好走 / +0.4前々走好走 / +1.0血統距離適性 / +0.5枠番補正 / +2.2複勝安定ボーナス / +5.0勝利数ボーナス / +1.2急坂パワー,,出来安定
2,7,8,ビップディラン,+12.2,5.7,4人気,+3.0同コース実績 / +3.0調教評価 / +2.5近走上昇傾向 / +0.4前走好走 / +0.4前々走好走 / +1.5複勝安定ボーナス / +2.5勝利数ボーナス,-1.0季節×性別,好調子
3,8,11,オリバナム,+9.5,4.4,3人気,+2.0前走3F最速 / +3.0調教評価 / +0.5血統距離適性 / +1.5複勝安定ボーナス / +2.5勝利数ボーナス,,好調持続
4,6,7,スナークピカソ,+8.1,10.8,5人気,+3.0同コース実績 / +2.0調教評価 / +2.5勝利数ボーナス / +1.0騎手フォーム / +0.6急坂パワー,-1.0季節×性別,状態良好
5,8,10,クイックバイオ,+6.3,19.3,7人気,+1.0叩き2戦目 / +3.8近走上昇傾向 / +0.2前走好走 / +1.3急坂パワー,,仕上十分
6,1,1,オトコギアンパン,+3.4,12.4,6人気,+2.0同コース近距離実績 / +1.0調教評価 / +1.0グレード実績(3-4走前) / +1.0血統距離適性 / +0.9急坂パワー,-1.0長期休養明け / -0.5枠番補正 / -1.0季節×性別,仕上良好
7,6,6,マイネルフォルツァ,+3.2,25.6,8人気,+1.0調教評価 / +1.2近走上昇傾向 / +1.0距離短縮 / +2.0騎手フォーム,-0.5血統距離適性 / -0.5前走ローカル / -1.0季節×性別,元気一杯
8,5,5,サクラオーラ,+2.0,29.3,9人気,+2.0調教評価,,攻め十分
9,3,3,ショウナンバルドル,+1.5,4.0,2人気,+1.2近走上昇傾向 / +0.2前々走好走,,動き良化
10,2,2,バガン,+0.6,49.0,10人気,+1.0距離短縮 / +0.6急坂パワー,-1.0季節×性別,前走並み
11,7,9,ケイテンアイジン,-0.2,116.5,11人気,+1.0調教評価 / +1.2近走上昇傾向 / +2.5勝利数ボーナス,-5.0初馬場種別 / -1.0季節×性別,元気一杯

■レース情報,芝1600m,202607020506,良

■買いサイン,⚠ 見送り,2勝クラス（ROI47%）

■評価コメント
,2勝クラス以下：全オッズ帯でROI47%以下。3勝クラス以上のみ買い。
,2位ビップディラン5.7倍（スコア差5.9pt）。

■三連複1軸-相手,1軸-相手5頭 (10点),"軸:4番テイエムアイラン / 相手(予想2〜6位):8,11,7,10,1",10点
,1－4－7
,1－4－8
,1－4－10
,1－4－11
,4－7－8
,4－7－10
,4－7－11
,4－8－10
,4－8－11
,4－10－11

■参考:2軸型(3〜9位相手),軸:4番テイエムアイラン×8番ビップディラン,"相手(3〜9位):11,7,10,1,6,5,3",7点
,1－4－8
,3－4－8
,4－5－8
,4－6－8
,4－7－8
,4－8－10
,4－8－11
