順位,枠,馬番,馬名,合計スコア,単勝オッズ,人気,加点内訳,減点内訳,調教コメント
1,4,8,ルヴァレドクール,+13.0,7.2,4人気,+4.0同コース実績 / +2.0調教A評価 / +1.0叩き2戦目 / +2.0前走好走 / +1.0前々走好走 / +3.0複勝安定ボーナス,,力強い
2,4,7,キョウエイフロイデ,+11.5,10.8,5人気,+4.0同コース実績 / +2.0調教A評価 / +2.0前走好走 / +0.5前々走好走 / +3.0複勝安定ボーナス,,好調子
3,3,6,ラッキーキッド,+10.0,5.0,2人気,+4.0同コース実績 / +2.0調教A評価 / +1.0距離短縮 / +1.0前々走好走 / +2.0複勝安定ボーナス,,前走以上
4,8,15,トルショー,+8.0,17.8,8人気,+4.0同コース実績 / +2.0調教A評価 / +2.0前走好走,,元気一杯
5,5,10,ルグランヴァン,+6.0,4.3,1人気,+2.0調教A評価 / +1.0距離短縮 / +1.0グレード実績(3-4走前) / +2.0複勝安定ボーナス,,好気配
6,2,3,ファリーザ,+5.5,44.2,15人気,+4.0同コース実績 / +1.0調教A評価 / +1.0叩き2戦目 / +1.0距離短縮 / +0.5血統距離適性,-2.0枠番補正,多少良化
7,3,5,エンセリオ,+5.5,75.1,16人気,+4.0同コース実績 / +2.0調教A評価 / +1.0叩き2戦目 / +1.0グレード実績(3-4走前) / +0.5血統距離適性,-3.0距離延長,叩き良化
8,2,4,ヴァンドーム,+3.5,6.0,3人気,+2.0調教A評価 / +1.0グレード実績(3-4走前) / +0.5血統距離適性 / +2.0複勝安定ボーナス,-2.0枠番補正,好調持続
9,5,9,ルフトクス,+3.0,33.7,13人気,+1.0調教A評価 / +2.0前走好走 / +2.0複勝安定ボーナス,-2.0長期休養明け,完調手前
10,8,16,メイショウフウドウ,+3.0,27.8,11人気,+2.0調教A評価 / +1.0叩き2戦目 / +1.0距離短縮 / +1.0グレード実績(3-4走前),-2.0長期休養明け,攻め熱心
11,1,1,レーウィン,+2.0,43.7,14人気,+2.0前走3F最速 / +2.0調教A評価 / +1.0叩き2戦目,-1.0距離延長 / -2.0枠番補正,気配上々
12,7,13,フルオール,+2.0,14.9,6人気,+2.0調教A評価,,気配上々
13,7,14,コブラ,+0.0,25.9,10人気,+1.0調教A評価 / +1.0叩き2戦目 / +1.0グレード実績(3-4走前),-3.0距離延長,遅れ上々
14,6,11,リネアグローリア,-1.0,33.5,12人気,+2.0調教A評価,-3.0距離延長,意欲十分
15,1,2,トクシーカイザー,-1.5,19.8,9人気,+2.0調教A評価 / +1.0叩き2戦目 / +0.5血統距離適性,-3.0距離延長 / -2.0枠番補正,好調子
16,6,12,キャピタルサックス,-2.5,16.2,7人気,+1.0調教A評価 / +1.0叩き2戦目 / +0.5血統距離適性,-3.0距離延長 / -2.0長期休養明け,目立たず


■レース情報,ダート1600m
■買いサイン,見送り,同コース実績主因

■評価コメント
,1位の主要加点が同コース実績（過去成績依存）。当日の状態変化に注意。
,2位キョウエイフロイデ10.8倍（スコア差1.5pt）。

■三連複フォームB,軸:8番ルヴァレドクール,"相手A(2〜5位):7,6,15,10","相手B(2〜9位):7,6,15,10,3,5,4,9",22点
,3－6－8
,3－7－8
,3－8－10
,3－8－15
,4－6－8
,4－7－8
,4－8－10
,4－8－15
,5－6－8
,5－7－8
,5－8－10
,5－8－15
,6－7－8
,6－8－9
,6－8－10
,6－8－15
,7－8－9
,7－8－10
,7－8－15
,8－9－10
,8－9－15
,8－10－15

■三連複7点,軸:8番ルヴァレドクール×7番キョウエイフロイデ,"相手(3〜9位):6,15,10,3,5,4,9",7点
,3－7－8
,4－7－8
,5－7－8
,6－7－8
,7－8－9
,7－8－10
,7－8－15
